candidate,source,food_site_count,food_site_width,food_site_capacity,food_value,vertical_comb_benefit,food_site_max_distance,travel_cost_per_distance,mutation_sd,transposition_mutation_correlation
trial_243,trial_243,8,0.280,9,1.000,0.540,7.000,0.055,0.090,1.000
trial_343,trial_343,7,0.320,9,1.000,0.560,8.000,0.055,0.110,1.000
trial_183,trial_183,7,0.320,7,1.000,0.600,7.500,0.060,0.100,0.900
trial_463,trial_463,8,0.240,8,1.000,0.540,6.500,0.055,0.090,1.000
trial_464,trial_464,8,0.290,8,1.000,0.540,7.000,0.055,0.090,1.000
trial_479,trial_479,7,0.290,8,1.000,0.580,7.000,0.055,0.100,1.000
trial_193,trial_193,7,0.320,7,1.000,0.560,8.000,0.055,0.100,0.800
trial_154,trial_154,8,0.300,8,1.000,0.560,8.000,0.060,0.110,1.000
trial_377,trial_377,9,0.270,8,1.000,0.580,8.500,0.055,0.110,1.000
trial_206,trial_206,8,0.280,8,1.000,0.580,7.000,0.055,0.110,1.000
trial_353,trial_353,8,0.300,9,1.000,0.540,9.000,0.060,0.120,1.000
trial_424,trial_424,8,0.260,9,1.000,0.600,8.000,0.055,0.110,1.000
trial_425,trial_425,8,0.340,9,1.000,0.600,8.000,0.055,0.090,0.800
trial_153,trial_153,8,0.290,8,1.000,0.560,8.000,0.060,0.110,1.000
trial_471,trial_471,8,0.240,8,1.000,0.580,6.500,0.055,0.090,1.000
trial_396,trial_396,8,0.290,10,1.000,0.580,7.000,0.055,0.100,1.000
trial_83,trial_83,10,0.260,10,1.000,0.520,9.000,0.050,0.100,0.900
trial_139,trial_139,8,0.290,9,1.000,0.540,8.000,0.055,0.110,1.000
trial_461,trial_461,8,0.320,8,1.000,0.540,6.500,0.060,0.090,1.000
trial_257,trial_257,8,0.270,9,1.000,0.600,6.500,0.055,0.090,1.000
