point,parameter,parameter_value,is_baseline,group_kind,group,generation,runs,mean_directional_bias,mean_receiver_attention,mean_sender_transposition,mean_receiver_transposition,mean_min_transposition,mean_transposition_gap,mean_comb_tilt,mean_success,mean_payoff
baseline,baseline,baseline,true,all,all,0,100,0.074,0.124,0.000,0.000,0.000,0.000,0.000,0.164,0.517
baseline,baseline,baseline,true,all,all,1,100,0.090,0.136,0.035,0.035,0.035,0.000,0.036,0.221,0.901
baseline,baseline,baseline,true,all,all,2,100,0.109,0.147,0.059,0.059,0.059,0.000,0.063,0.267,1.240
baseline,baseline,baseline,true,all,all,3,100,0.125,0.161,0.079,0.079,0.079,0.000,0.087,0.313,1.588
baseline,baseline,baseline,true,all,all,4,100,0.141,0.176,0.098,0.098,0.098,0.000,0.110,0.352,1.893
baseline,baseline,baseline,true,all,all,5,100,0.161,0.193,0.115,0.115,0.115,0.000,0.131,0.387,2.168
baseline,baseline,baseline,true,all,all,6,100,0.181,0.210,0.131,0.131,0.131,0.000,0.155,0.414,2.388
baseline,baseline,baseline,true,all,all,7,100,0.201,0.221,0.144,0.144,0.144,0.000,0.175,0.432,2.536
baseline,baseline,baseline,true,all,all,8,100,0.217,0.234,0.156,0.156,0.156,0.000,0.194,0.449,2.677
baseline,baseline,baseline,true,all,all,9,100,0.238,0.250,0.167,0.167,0.167,0.000,0.218,0.461,2.803
baseline,baseline,baseline,true,all,all,10,100,0.258,0.271,0.176,0.176,0.176,0.000,0.240,0.470,2.900
baseline,baseline,baseline,true,all,all,11,100,0.278,0.291,0.187,0.187,0.187,0.000,0.260,0.476,2.980
baseline,baseline,baseline,true,all,all,12,100,0.297,0.309,0.193,0.193,0.193,0.000,0.287,0.483,3.069
baseline,baseline,baseline,true,all,all,13,100,0.313,0.328,0.204,0.204,0.204,0.000,0.308,0.487,3.135
baseline,baseline,baseline,true,all,all,14,100,0.325,0.346,0.215,0.215,0.215,0.000,0.329,0.490,3.200
baseline,baseline,baseline,true,all,all,15,100,0.338,0.365,0.225,0.225,0.225,0.000,0.356,0.495,3.270
baseline,baseline,baseline,true,all,all,16,100,0.357,0.382,0.227,0.227,0.227,0.000,0.380,0.500,3.354
baseline,baseline,baseline,true,all,all,17,100,0.371,0.396,0.234,0.234,0.234,0.000,0.399,0.501,3.397
baseline,baseline,baseline,true,all,all,18,100,0.387,0.410,0.241,0.241,0.241,0.000,0.421,0.505,3.460
baseline,baseline,baseline,true,all,all,19,100,0.401,0.426,0.246,0.246,0.246,0.000,0.443,0.506,3.513
baseline,baseline,baseline,true,all,all,20,100,0.419,0.442,0.254,0.254,0.254,0.000,0.458,0.507,3.556
baseline,baseline,baseline,true,all,all,21,100,0.438,0.457,0.261,0.261,0.261,0.000,0.472,0.511,3.618
baseline,baseline,baseline,true,all,all,22,100,0.453,0.468,0.265,0.265,0.265,0.000,0.492,0.513,3.672
baseline,baseline,baseline,true,all,all,23,100,0.462,0.482,0.268,0.268,0.268,0.000,0.511,0.513,3.725
baseline,baseline,baseline,true,all,all,24,100,0.481,0.498,0.279,0.279,0.279,0.000,0.526,0.513,3.745
baseline,baseline,baseline,true,all,all,25,100,0.492,0.514,0.286,0.286,0.286,0.000,0.541,0.516,3.821
